model,variant,split,metric,k,value,n_users,n_ratings,seed,run_id,timestamp
mf,"learning_rate=0.01,n_factors=8,regularisation=0.02",val,gini,20.0,0.9544850823045268,864,0,20260903,20260922T171255,1790077462
mf,"learning_rate=0.005,n_factors=8,regularisation=0.05",val,rmse,,0.9708017400242639,943,9988,20260903,20260922T171255,1790077499
mf,"learning_rate=0.005,n_factors=8,regularisation=0.05",val,mae,,0.7668071696188353,943,9988,20260903,20260922T171255,1790077499
mf,"learning_rate=0.005,n_factors=8,regularisation=0.05",val,precision_at_k,5.0,0.03009259259259259,864,0,20260903,20260922T171255,1790077499
mf,"learning_rate=0.005,n_factors=8,regularisation=0.05",val,recall_at_k,5.0,0.022502600691738643,864,0,20260903,20260922T171255,1790077499
mf,"learning_rate=0.005,n_factors=8,regularisation=0.05",val,coverage,5.0,0.08444444444444445,864,0,20260903,20260922T171255,1790077499
mf,"learning_rate=0.005,n_factors=8,regularisation=0.05",val,mean_popularity,5.0,191.43032407407406,864,0,20260903,20260922T171255,1790077499
mf,"learning_rate=0.005,n_factors=8,regularisation=0.05",val,popularity_percentile,5.0,0.9267812602946021,864,0,20260903,20260922T171255,1790077499
mf,"learning_rate=0.005,n_factors=8,regularisation=0.05",val,gini,5.0,0.9841455026455026,864,0,20260903,20260922T171255,1790077499
mf,"learning_rate=0.005,n_factors=8,regularisation=0.05",val,precision_at_k,10.0,0.026273148148148146,864,0,20260903,20260922T171255,1790077499
mf,"learning_rate=0.005,n_factors=8,regularisation=0.05",val,recall_at_k,10.0,0.04135495855068888,864,0,20260903,20260922T171255,1790077499
mf,"learning_rate=0.005,n_factors=8,regularisation=0.05",val,coverage,10.0,0.12698412698412698,864,0,20260903,20260922T171255,1790077499
mf,"learning_rate=0.005,n_factors=8,regularisation=0.05",val,mean_popularity,10.0,183.9076388888889,864,0,20260903,20260922T171255,1790077499
mf,"learning_rate=0.005,n_factors=8,regularisation=0.05",val,popularity_percentile,10.0,0.9180222451644784,864,0,20260903,20260922T171255,1790077499
mf,"learning_rate=0.005,n_factors=8,regularisation=0.05",val,gini,10.0,0.975604938271605,864,0,20260903,20260922T171255,1790077499
mf,"learning_rate=0.005,n_factors=8,regularisation=0.05",val,precision_at_k,20.0,0.024074074074074074,864,0,20260903,20260922T171255,1790077499
mf,"learning_rate=0.005,n_factors=8,regularisation=0.05",val,recall_at_k,20.0,0.08062983193760852,864,0,20260903,20260922T171255,1790077499
mf,"learning_rate=0.005,n_factors=8,regularisation=0.05",val,coverage,20.0,0.17333333333333334,864,0,20260903,20260922T171255,1790077499
mf,"learning_rate=0.005,n_factors=8,regularisation=0.05",val,mean_popularity,20.0,170.82731481481483,864,0,20260903,20260922T171255,1790077499
mf,"learning_rate=0.005,n_factors=8,regularisation=0.05",val,popularity_percentile,20.0,0.9039985337545295,864,0,20260903,20260922T171255,1790077499
mf,"learning_rate=0.005,n_factors=8,regularisation=0.05",val,gini,20.0,0.9614196796002351,864,0,20260903,20260922T171255,1790077499
mf,"learning_rate=0.01,n_factors=8,regularisation=0.05",val,rmse,,0.9700420140185299,943,9988,20260903,20260922T171255,1790077521
mf,"learning_rate=0.01,n_factors=8,regularisation=0.05",val,mae,,0.7663424442477538,943,9988,20260903,20260922T171255,1790077521
mf,"learning_rate=0.01,n_factors=8,regularisation=0.05",val,precision_at_k,5.0,0.02916666666666667,864,0,20260903,20260922T171255,1790077521
mf,"learning_rate=0.01,n_factors=8,regularisation=0.05",val,recall_at_k,5.0,0.0230964235128899,864,0,20260903,20260922T171255,1790077521
mf,"learning_rate=0.01,n_factors=8,regularisation=0.05",val,coverage,5.0,0.08253968253968254,864,0,20260903,20260922T171255,1790077521
mf,"learning_rate=0.01,n_factors=8,regularisation=0.05",val,mean_popularity,5.0,192.65208333333334,864,0,20260903,20260922T171255,1790077521
mf,"learning_rate=0.01,n_factors=8,regularisation=0.05",val,popularity_percentile,5.0,0.9285634029836699,864,0,20260903,20260922T171255,1790077521
mf,"learning_rate=0.01,n_factors=8,regularisation=0.05",val,gini,5.0,0.9846255144032922,864,0,20260903,20260922T171255,1790077521
mf,"learning_rate=0.01,n_factors=8,regularisation=0.05",val,precision_at_k,10.0,0.025694444444444443,864,0,20260903,20260922T171255,1790077521
mf,"learning_rate=0.01,n_factors=8,regularisation=0.05",val,recall_at_k,10.0,0.041029555887296766,864,0,20260903,20260922T171255,1790077521
mf,"learning_rate=0.01,n_factors=8,regularisation=0.05",val,coverage,10.0,0.12571428571428572,864,0,20260903,20260922T171255,1790077521
mf,"learning_rate=0.01,n_factors=8,regularisation=0.05",val,mean_popularity,10.0,183.6306712962963,864,0,20260903,20260922T171255,1790077521
mf,"learning_rate=0.01,n_factors=8,regularisation=0.05",val,popularity_percentile,10.0,0.9178187797072803,864,0,20260903,20260922T171255,1790077521
mf,"learning_rate=0.01,n_factors=8,regularisation=0.05",val,gini,10.0,0.9764816284538507,864,0,20260903,20260922T171255,1790077521
