kind,model_a,model_b,metric,difference,lower,upper,excludes_zero
difference,item_mean,user_mean,rmse,-0.06592845636784982,-0.10044545378706533,-0.0245073509130709,True
difference,mf,mf_ranking,rmse,-0.011118809400263099,-0.014442501171257558,-0.007654445762658254,True
difference,mf,most_popular,rmse,-0.21536931477877078,-0.2474778452465597,-0.18701342199244847,True
difference,mf,user_mean,rmse,-0.15754215239774932,-0.17215417642109743,-0.14144311223674255,True
difference,mf_ranking,most_popular,rmse,-0.2042505053785077,-0.23731041648824153,-0.17510011630993205,True
difference,mf_ranking,user_mean,rmse,-0.1464233429974862,-0.16121432226020443,-0.13033475889133078,True
difference,most_popular,user_mean,rmse,0.05782716238102145,0.02674393378113473,0.09683328811660247,True
difference,content,global_mean,precision_at_10,-0.00318614004180168,-0.007641407798100934,0.001424073345846343,False
difference,content,hybrid,precision_at_10,-0.03403779562292184,-0.040091843218415836,-0.02804337706557455,True
difference,content,hybrid_frontier,precision_at_10,-0.03443282147214087,-0.04040235084686162,-0.02905522978642258,True
difference,content,item_knn,precision_at_10,-0.015554573220108878,-0.02106002634442055,-0.010332958287596049,True
difference,content,item_knn_ranking,precision_at_10,-0.02530739041144154,-0.030974501357713572,-0.01969253135155779,True
difference,content,item_mean,precision_at_10,-0.023310070268906906,-0.029158117790128644,-0.017290174165282498,True
difference,content,mf,precision_at_10,-0.03215802562762219,-0.03844722703388644,-0.02622208702064897,True
difference,content,mf_ranking,precision_at_10,-0.031823197934253956,-0.03808012661551478,-0.025916152999956983,True
difference,content,most_popular,precision_at_10,-0.04556015274729626,-0.05284430210962427,-0.038619564483945296,True
difference,content,user_mean,precision_at_10,-0.00318614004180168,-0.007641407798100934,0.001424073345846343,False
difference,global_mean,hybrid,precision_at_10,-0.030851655581120158,-0.03700604321189868,-0.024424781154686343,True
difference,global_mean,hybrid_frontier,precision_at_10,-0.03124668143033919,-0.03738875517777866,-0.024880071924603186,True
difference,global_mean,item_knn,precision_at_10,-0.0123684331783072,-0.017268438079313726,-0.00740669358786099,True
difference,global_mean,item_knn_ranking,precision_at_10,-0.02212125036963986,-0.027667567567567563,-0.016962305986696236,True
difference,global_mean,item_mean,precision_at_10,-0.020123930227105225,-0.02568747215006902,-0.014378708720330235,True
difference,global_mean,mf,precision_at_10,-0.02897188558582051,-0.03465890735818857,-0.022891263715576586,True
difference,global_mean,mf_ranking,precision_at_10,-0.028637057892452272,-0.0347929801691248,-0.022380894856835906,True
difference,global_mean,most_popular,precision_at_10,-0.04237401270549458,-0.04894261156866501,-0.03639743890977444,True
difference,global_mean,user_mean,precision_at_10,0.0,0.0,0.0,False
difference,hybrid,hybrid_frontier,precision_at_10,-0.0003950258492190323,-0.0031026643572174516,0.0023349128540304993,False
difference,hybrid,item_knn,precision_at_10,0.018483222402812964,0.014346737599749654,0.02278775275621694,True
difference,hybrid,item_knn_ranking,precision_at_10,0.008730405211480302,0.003604987019588615,0.013436864855928661,True
difference,hybrid,item_mean,precision_at_10,0.010727725354014936,0.006436935458694228,0.014663726571113554,True
difference,hybrid,mf,precision_at_10,0.0018797699952996514,-0.0004425393997263462,0.004116958657767885,False
difference,hybrid,mf_ranking,precision_at_10,0.002214597688667885,-0.0017432541988621196,0.006346781345492058,False
difference,hybrid,most_popular,precision_at_10,-0.011522357124374423,-0.018517373495625298,-0.004766136302721677,True
difference,hybrid,user_mean,precision_at_10,0.030851655581120158,0.024424781154686343,0.03700604321189868,True
difference,hybrid_frontier,item_knn,precision_at_10,0.01887824825203199,0.014407902903122181,0.023509933774834436,True
difference,hybrid_frontier,item_knn_ranking,precision_at_10,0.009125431060699334,0.004073240338294609,0.01403470667950282,True
difference,hybrid_frontier,item_mean,precision_at_10,0.011122751203233968,0.0065179089033179476,0.015913155699553906,True
difference,hybrid_frontier,mf,precision_at_10,0.002274795844518684,-0.0010990223904131147,0.005631898454746137,False
difference,hybrid_frontier,mf_ranking,precision_at_10,0.0026096235378869174,-0.0016617361603643184,0.006795748593365379,False
difference,hybrid_frontier,most_popular,precision_at_10,-0.011127331275155392,-0.018292955139372825,-0.004046384056481743,True
difference,hybrid_frontier,user_mean,precision_at_10,0.03124668143033919,0.024880071924603186,0.03738875517777866,True
difference,item_knn,item_knn_ranking,precision_at_10,-0.009752817191332658,-0.014081027933999993,-0.005739040791496373,True
difference,item_knn,item_mean,precision_at_10,-0.007755497048798027,-0.011564514835020566,-0.0038586631540772605,True
difference,item_knn,mf,precision_at_10,-0.016603452407513312,-0.0208244002966288,-0.012595529922890591,True
difference,item_knn,mf_ranking,precision_at_10,-0.016268624714145075,-0.020820185039093036,-0.01203057346466409,True
difference,item_knn,most_popular,precision_at_10,-0.030005579527187385,-0.03658870045731707,-0.023428248640819084,True
difference,item_knn,user_mean,precision_at_10,0.0123684331783072,0.00740669358786099,0.017268438079313726,True
difference,item_knn_ranking,item_mean,precision_at_10,0.001997320142534632,-0.0022221450623893424,0.006519337016574575,False
difference,item_knn_ranking,mf,precision_at_10,-0.0068506352161806505,-0.011629059522589897,-0.001777679231337771,True
difference,item_knn_ranking,mf_ranking,precision_at_10,-0.006515807522812418,-0.011368653421633547,-0.0017540706183681025,True
difference,item_knn_ranking,most_popular,precision_at_10,-0.020252762335854727,-0.027051518418247964,-0.013091309130913095,True
difference,item_knn_ranking,user_mean,precision_at_10,0.02212125036963986,0.016962305986696236,0.027667567567567563,True
difference,item_mean,mf,precision_at_10,-0.008847955358715283,-0.012778005464480874,-0.004549622421489591,True
difference,item_mean,mf_ranking,precision_at_10,-0.008513127665347049,-0.012544395116537172,-0.0043899484267396,True
difference,item_mean,most_popular,precision_at_10,-0.02225008247838936,-0.029136441179036326,-0.015771597603871635,True
difference,item_mean,user_mean,precision_at_10,0.020123930227105225,0.014378708720330235,0.02568747215006902,True
difference,mf,mf_ranking,precision_at_10,0.0003348276933682334,-0.0035399210105939954,0.004075567510280634,False
difference,mf,most_popular,precision_at_10,-0.013402127119674076,-0.020310765815760266,-0.0067474152161597295,True
difference,mf,user_mean,precision_at_10,0.02897188558582051,0.022891263715576586,0.03465890735818857,True
difference,mf_ranking,most_popular,precision_at_10,-0.013736954813042308,-0.020592191381935743,-0.006807419066505162,True
difference,mf_ranking,user_mean,precision_at_10,0.028637057892452272,0.022380894856835906,0.0347929801691248,True
difference,most_popular,user_mean,precision_at_10,0.04237401270549458,0.03639743890977444,0.04894261156866501,True
